name	version	released	verdict	detail	seconds	exit	first-error
L10N::BG	0.0.2	2026-09-22	pass		0.9	0	
L10N::BG	0.0.1	2026-09-22	pass		0.4	0	
RakuPM	0.79.0	2026-09-22	timeout		180	142	
RakuPM	0.78.0	2026-09-22	timeout		180	142	
RakuPM	0.77.0	2026-09-22	timeout		180	142	
RakuPM	0.76.0	2026-09-22	timeout		180	142	
BinaryHeap	0.0.8	2026-09-21	self-fail		0.7	1	FAILED: 01-binaryheap.rakutest | # Failed test 'heap includes the elements of the provided Slip' at /tmp/rakupp-install-44472-BinaryHeap/t/01-binaryheap.rakutest line 9
Game::Sudoku	1.1.5	2026-09-21	pass		0.9	0	
Range::SetOps	0.0.5	2026-09-21	self-fail		0.5	1	FAILED: 02-elem.t | # Failed test 'ok 5 (elem) Set(1 2 3 4.5 5.5)' at /tmp/rakupp-install-44519-Range--SetOps/Range-SetOps-0.0.5/t/02-elem.t line 22
GnomeTools	0.8.5	2026-09-20	dep-fail	Cairo	3.4	1	FAILED: matrix.t | # Running cairo version: 1.18.0 (module 0.3.6, Raku 2026.08)
RakuPMVerifyTmp	0.1.1	2026-09-20	pass		0.5	0	
RakuPMVerifyTmp	0.1.0	2026-09-20	pass		0.3	0	
Slang::Tuxic	0.0.6	2026-09-20	pass		0.8	0	
Ecosystem::Archive::Update	0.0.31	2026-09-19	timeout		180	142	
License::SPDX	3.29.0	2026-09-19	timeout		180	142	
if	0.1.6	2026-09-19	pass		0.6	0	
GnomeTools	0.8.4	2026-09-18	dep-fail	Cairo	2.7	1	FAILED: matrix.t | # Running cairo version: 1.18.0 (module 0.3.6, Raku 2026.08)
MVC::Keayl	0.9.2	2026-09-18	timeout		180	142	
MVC::Keayl::Admin	0.9.1	2026-09-18	timeout		180	142	
Rakuast::RakuDoc::Render	1.1.2	2026-09-18	timeout		180	142	
String::Utils	0.0.41	2026-09-18	self-fail		0.5	1	FAILED: 01-basic.rakutest | # Failed test 'stem without number of extensions' at /tmp/rakupp-install-44838-String--Utils/String-Utils-0.0.41/t/01-basic.rakutest line 56
App::Rak	0.3.21	2026-09-17	dep-fail	String::Utils	2	1	FAILED: 01-basic.rakutest | # Failed test 'stem without number of extensions' at /tmp/rakupp-install-44852-String--Utils/String-Utils-0.0.41/t/01-basic.rakutest line 56
Ecosystem	0.0.34	2026-09-17	timeout		180	142	
Ecosystem::Archive::Update	0.0.30	2026-09-17	timeout		180	142	
JSON::Collector	0.0.5	2026-09-17	timeout		180	142	
JSON::Fast::Hyper	0.0.12	2026-09-17	timeout		180	142	
JSON::Path	1.11	2026-09-17	timeout		180	142	
JSON::RepositoryEvent	0.0.10	2026-09-17	timeout		180	142	
ML::TriesWithFrequencies	0.6.8	2026-09-17	pass		1.2	0	
ML::TriesWithFrequencies::Native	0.0.1	2026-09-17	dep-fail	File::Find	1.6	1	FAILED: 01-file-find.rakutest | # Failed test 'dies on incorrect type' at /tmp/rakupp-install-45115-File--Find/File-Find-0.2.5/t/01-file-find.rakutest line 67
RepositoryEvent	0.0.3	2026-09-17	timeout		180	142	
Zef::Configuration	0.0.14	2026-09-17	timeout		180	142	
paths	10.3	2026-09-17	pass		0.5	0	
zef	1.1.4	2026-09-17	self-fail		1.9	1	FAILED: distribution-depends-parsing.rakutest | # Failed test at /tmp/rakupp-install-45274-zef/dist/t/distribution-depends-parsing.rakutest line 68
App::MoarVM::Debug	0.3	2026-09-16	timeout		180	142	
Dawa	0.0.11	2026-09-16	self-fail		5.6	1	FAILED: 01-compile.rakutest | ===SORRY!=== Parse error at line 3: `use Dawa`: it changes only the actions (`statement`), which rakupp cannot apply (docs/dev/plans/SLANG-PLAN.md) (got 'use')
IRC::Channel::Log	0.0.44	2026-09-16	timeout		180	142	
JSON::Fast	0.21.0	2026-09-16	timeout		180	142	
JSON::Pretty	0.1.2	2026-09-16	timeout		180	142	
MoarVM::Remote	0.0.5	2026-09-16	timeout		180	142	
PURL	0.0.17	2026-09-16	dep-fail	String::Utils	0.8	1	FAILED: 01-basic.rakutest | # Failed test 'stem without number of extensions' at /tmp/rakupp-install-45528-String--Utils/String-Utils-0.0.41/t/01-basic.rakutest line 56
PURL	0.0.16	2026-09-16	dep-fail	String::Utils	0.6	1	FAILED: 01-basic.rakutest | # Failed test 'stem without number of extensions' at /tmp/rakupp-install-45542-String--Utils/String-Utils-0.0.41/t/01-basic.rakutest line 56
RakuAST::Utils	0.0.4	2026-09-16	self-fail		0.5	1	FAILED: 01-basic.rakutest | No such method 'roles' for invocant of type 'Array[Int]'
Rakuast::RakuDoc::Render	1.1.1	2026-09-16	timeout		180	142	
SBOM::CycloneDX	0.0.18	2026-09-16	dep-fail	Email::Valid	1.3	1	FAILED: 02-simple_valid.t | # Failed test '-t.123+asd@aa.tr OK' at /tmp/rakupp-install-45598-Email--Valid/dist/t/02-simple_valid.t line 16
SBOM::CycloneDX	0.0.17	2026-09-16	dep-fail	Email::Valid	1	1	FAILED: 02-simple_valid.t | # Failed test '-t.123+asd@aa.tr OK' at /tmp/rakupp-install-45634-Email--Valid/dist/t/02-simple_valid.t line 16
SBOM::Raku	0.0.14	2026-09-16	dep-fail	String::Utils	1.2	1	FAILED: 01-basic.rakutest | # Failed test 'stem without number of extensions' at /tmp/rakupp-install-45652-String--Utils/String-Utils-0.0.41/t/01-basic.rakutest line 56
Template::Mustache	1.2.7	2026-09-16	timeout		180	142	
Unix::errno	0.0.8	2026-09-16	timeout		180	142	
Updown	0.0.9	2026-09-16	timeout		180	142	
Version::Repology	0.0.6	2026-09-16	self-fail		3.7	1	FAILED: 01-basic.rakutest | # Failed test 'is stringification correct' at /tmp/rakupp-install-45738-Version--Repology/Version-Repology-0.0.6/t/01-basic.rakutest line 9
